gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2440893619	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364105_Bacteria::Bacteroidetes:Flavobacteriia:Flavobacteriales:Flavobacteriaceae:Cloacibacterium	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium			GENUS	Cloacibacterium Allen et al., 2006	Cloacibacterium					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3228636		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:04.945Z		
2440893618	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364108_Bacteria::Firmicutes:Clostridia:Clostridiales:Lachnospiraceae	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae				FAMILY	Lachnospiraceae	Lachnospiraceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													4713		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:04.996Z		
2440893616	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364106_Bacteria::Bacteroidetes:Saprospiria:Saprospirales:Saprospiraceae:Membranicola	Chromista	Ciliophora				Membranicola			GENUS	Membranicola Foissner, Berger & Schaumburg, 1999	Membranicola					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													7381224		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.476Z		
2440893614	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364107_Bacteria::Proteobacteria:Betaproteobacteria:Rhodocyclales:Azonexaceae:Azonexus	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus			GENUS	Azonexus Reinhold-Hurek & Hurek, 2000	Azonexus					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3220320		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.356Z		
2440893613	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364108_Bacteria::Firmicutes:Clostridia:Clostridiales:Peptostreptococcaceae	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae				FAMILY	Peptostreptococcaceae	Peptostreptococcaceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													7800		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.225Z		
2440893611	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364111_Bacteria::Proteobacteria:Alphaproteobacteria:Rhodobacterales:Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				FAMILY	Rhodobacteraceae	Rhodobacteraceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													4729		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.393Z		
2440893610	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364107_Bacteria::Proteobacteria:Gammaproteobacteria	Bacteria	Proteobacteria	Gammaproteobacteria						CLASS	Gammaproteobacteria	Gammaproteobacteria					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													362		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:04.915Z		
2440893609	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364107_Bacteria::Spirochaetes:Spirochaetia:Spirochaetales:Spirochaetaceae	Bacteria	Spirochaetota			Spirochaetaceae				FAMILY	Spirochaetaceae	Spirochaetaceae					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													9542		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.298Z		
2440893604	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364105_Bacteria::Proteobacteria:Deltaproteobacteria:Myxococcales:Sandaracinaceae:Sandaracinus	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinus			GENUS	Sandaracinus Mohr et al., 2012	Sandaracinus					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													7558102		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.224Z		
2440893603	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364105_Bacteria::Proteobacteria:Gammaproteobacteria:Methylococcales:Methylococcaceae:Methylomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonas			GENUS	Methylomonas Leadbetter, 1974	Methylomonas					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3222937		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:04.859Z		
2440893596	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364106_Bacteria::Proteobacteria:Epsilonproteobacteria:Campylobacterales:Campylobacteraceae:Sulfurospirillum	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum			GENUS	Sulfurospirillum Schumacher et al., 1993	Sulfurospirillum					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													3223328		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.478Z		
2440893595	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364106_Bacteria::Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ercella	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ercella			GENUS	Ercella van Gelder et al., 2014	Ercella					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													7766656		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.162Z		
2440893593	1ed81a8b-4f1a-4037-a347-84f01cae6e01	MGYA00364108_Bacteria::Gemmatimonadetes	Bacteria	Gemmatimonadota							PHYLUM	Gemmatimonadetes	Gemmatimonadetes					PRESENT		ab733144-7043-4e88-bd4f-fca7bf858880													30		MATERIAL_SAMPLE							CC_BY_4_0					2023-04-07T16:53:05.202Z		
